band_size,coverage,npv,subscribers_routed,leakage_rate,threshold,feasible,binding
7111,0.21581183611532626,0.9677963718183097,229,0.06169181034482758,0.2736250529647823,True,
7129,0.21635811836115326,0.9678776827044466,229,0.06169181034482758,0.2738956403257272,True,
7131,0.21641881638846738,0.9678866919085682,229,0.06169181034482758,0.2739446141797979,True,
7132,0.21644916540212444,0.9678911946158161,229,0.06169181034482758,0.2740526098782559,True,
7138,0.21663125948406678,0.9679181843653685,229,0.06169181034482758,0.2740567536125404,True,
7142,0.216752655538695,0.9679361523382806,229,0.06169181034482758,0.27423725682545613,True,
7263,0.2204248861911988,0.9677819083023544,234,0.06303879310344827,0.27467033558522314,True,
7307,0.22176024279210926,0.9675653482961544,237,0.06384698275862069,0.27485179736323717,True,
7319,0.22212443095599393,0.9676185271211915,237,0.06384698275862069,0.2751781495198613,True,
7332,0.22251896813353567,0.9676759410801964,237,0.06384698275862069,0.27525009296269776,True,
7342,0.22282245827010622,0.9677199673113593,237,0.06384698275862069,0.2753473680652738,True,
7354,0.2231866464339909,0.9676366603209138,238,0.06411637931034483,0.275572289542822,True,
7365,0.22352048558421853,0.9675492192803802,239,0.06438577586206896,0.2758180524282168,True,
7370,0.2236722306525038,0.9675712347354138,239,0.06438577586206896,0.27593212460022837,True,
7394,0.22440060698027314,0.9676764944549635,239,0.06438577586206896,0.27599693639645145,True,
7412,0.22494688922610015,0.967620075553157,240,0.06465517241379311,0.2761840643784038,True,
7431,0.22552352048558422,0.9677028663706096,240,0.06465517241379311,0.2763235012060762,True,
7448,0.22603945371775416,0.9677765843179377,240,0.06465517241379311,0.27633303058370084,True,
7464,0.22652503793626708,0.9678456591639871,240,0.06465517241379311,0.27640689366097276,True,
7563,0.22952959028831563,0.9673410022477853,247,0.06654094827586207,0.27642790452275967,True,
7571,0.22977238239757208,0.9673755118214239,247,0.06654094827586207,0.27650477882781177,True,
7617,0.23116843702579667,0.967047393987134,251,0.06761853448275862,0.2767414427436242,True,
7665,0.23262518968133536,0.9666014350945857,256,0.06896551724137931,0.2768318346801506,True,
7688,0.23332321699544764,0.9665712799167534,257,0.06923491379310345,0.2771281275423356,True,
7702,0.23374810318664643,0.9663723708127759,259,0.06977370689655173,0.27714796298198724,True,
7736,0.23477996965098635,0.9662616339193382,261,0.0703125,0.2772448489506522,True,
7747,0.23511380880121396,0.9663095391764555,261,0.0703125,0.2773832312531189,True,
7754,0.23532625189681336,0.9663399535723498,261,0.0703125,0.2774271280993885,True,
7800,0.23672230652503792,0.9661538461538461,264,0.07112068965517242,0.277476049281846,True,
7851,0.2382701062215478,0.9662463380461088,265,0.07139008620689655,0.2775459077121055,True,
7964,0.24169954476479513,0.9663485685585133,268,0.07219827586206896,0.277624477280393,True,
8086,0.245402124430956,0.9661142715805096,274,0.0738146551724138,0.27765899683494455,True,
8092,0.24558421851289833,0.9661393969352446,274,0.0738146551724138,0.277699194983396,True,
8137,0.24694992412746586,0.9657121789357257,279,0.07516163793103449,0.27781958935937423,True,
8264,0.250804248861912,0.9653920619554696,286,0.07704741379310345,0.2779268170899968,True,
8387,0.2545371775417299,0.965661142243949,288,0.07758620689655173,0.27799902816196104,True,
8413,0.25532625189681335,0.9657672649471056,288,0.07758620689655173,0.2780531388600401,True,
8438,0.25608497723823975,0.9658686892628585,288,0.07758620689655173,0.2782814614682358,True,
8454,0.25657056145675267,0.9659332860184529,288,0.07758620689655173,0.27835886796557036,True,
8482,0.25742033383915025,0.9656920537609055,291,0.07839439655172414,0.2785033476010239,True,
8485,0.2575113808801214,0.9657041838538597,291,0.07839439655172414,0.278534941523217,True,
8537,0.2590895295902883,0.9652102612158838,297,0.08001077586206896,0.2785665210757777,True,
8541,0.25921092564491655,0.9652265542676501,297,0.08001077586206896,0.27874571955680116,True,
8542,0.2592412746585736,0.9652306251463357,297,0.08001077586206896,0.2788094073688678,True,
8578,0.2603338391502276,0.9653765446491024,297,0.08001077586206896,0.27892191079732775,True,
8581,0.2604248861911988,0.9653886493415685,297,0.08001077586206896,0.2789670599169965,True,
8585,0.260546282245827,0.9654047757716948,297,0.08001077586206896,0.27922404748613666,True,
8612,0.2613657056145675,0.9653971202972597,298,0.08028017241379311,0.2794874666602534,True,
8647,0.26242792109256446,0.9650745923441656,302,0.08135775862068965,0.27958953849617635,True,
8650,0.26251896813353565,0.9650867052023121,302,0.08135775862068965,0.2798788342146995,True,
8658,0.26276176024279213,0.9651189651189651,302,0.08135775862068965,0.2799346794270957,True,
8659,0.2627921092564492,0.9651229934172537,302,0.08135775862068965,0.28031412685909723,True,
8694,0.26385432473444614,0.9652634000460087,302,0.08135775862068965,0.2804858255977349,True,
8713,0.2644309559939302,0.9652243773671525,303,0.0816271551724138,0.2805516243531657,True,
8714,0.26446130500758724,0.9652283681432178,303,0.0816271551724138,0.2806493964887019,True,
8737,0.2651593323216995,0.9650909923314639,305,0.08216594827586207,0.281017058008754,True,
8763,0.265948406676783,0.9649663357297729,307,0.08270474137931035,0.2813601053027397,True,
8767,0.26606980273141123,0.9648682559598495,308,0.08297413793103449,0.28160043621440084,True,
8852,0.268649468892261,0.9640759150474469,318,0.08566810344827586,0.2817292346352864,True,
8856,0.26877086494688923,0.9639792231255646,319,0.0859375,0.2818556660970621,True,
8885,0.2696509863429439,0.9635340461451886,324,0.08728448275862069,0.2818908664187753,True,
8886,0.26968133535660094,0.9635381498987171,324,0.08728448275862069,0.28201171168626255,True,
8910,0.2704097116843703,0.9636363636363636,324,0.08728448275862069,0.28202693419211067,True,
8912,0.27047040971168435,0.9636445242369839,324,0.08728448275862069,0.28212955467405043,True,
8942,0.27138088012139605,0.9637664951912324,324,0.08728448275862069,0.2826061520135271,True,
9063,0.2750531107738998,0.9639192320423701,327,0.08809267241379311,0.28262826474993374,True,
9148,0.27763277693474964,0.9632706602536073,336,0.09051724137931035,0.2826408434046093,True,
9157,0.2779059180576631,0.963306759855848,336,0.09051724137931035,0.28274268641006656,True,
9161,0.27802731411229137,0.9633227813557472,336,0.09051724137931035,0.28282374077629086,True,
9182,0.27866464339908953,0.9632977564800697,337,0.09078663793103449,0.2828290102940655,True,
9187,0.27881638846737483,0.9633177315772287,337,0.09078663793103449,0.2828568494709733,True,
9188,0.2788467374810319,0.9633217239878102,337,0.09078663793103449,0.2831065779793151,True,
9205,0.2793626707132018,0.9633894622487779,337,0.09078663793103449,0.28323655062748954,True,
9219,0.2797875569044006,0.9633365874823734,338,0.09105603448275862,0.2832737241715006,True,
9242,0.2804855842185129,0.9632114260982472,340,0.09159482758620689,0.28330333190925516,True,
9283,0.2817298937784522,0.9633739092965636,340,0.09159482758620689,0.2833321566524406,True,
9297,0.282154779969651,0.9634290631386468,340,0.09159482758620689,0.28354549797067646,True,
9310,0.2825493171471927,0.9634801288936627,340,0.09159482758620689,0.28362026983023264,True,
9352,0.2838239757207891,0.9635372112917023,341,0.09186422413793104,0.2837580903366307,True,
9378,0.2846130500758725,0.963531669865643,342,0.09213362068965517,0.28376553441476143,True,
9392,0.2850379362670713,0.9635860306643952,342,0.09213362068965517,0.2838560425701155,True,
9393,0.28506828528072836,0.9635899073778346,342,0.09213362068965517,0.2841388426767107,True,
9395,0.2851289833080425,0.9635976583288983,342,0.09213362068965517,0.28443868545289913,True,
9415,0.28573596358118364,0.9635687732342008,343,0.09240301724137931,0.28445203934101815,True,
9424,0.28600910470409713,0.9636035653650254,343,0.09240301724137931,0.2844653946697643,True,
9464,0.2872230652503794,0.9634404057480981,346,0.09321120689655173,0.28450191494009025,True,
9492,0.2880728376327769,0.9635482511588707,346,0.09321120689655173,0.28465758333649127,True,
9500,0.2883156297420334,0.9634736842105264,347,0.09348060344827586,0.2846604536300703,True,
9509,0.2885887708649469,0.9635082553370491,347,0.09348060344827586,0.2847682353651443,True,
9540,0.28952959028831565,0.9634171907756813,349,0.09401939655172414,0.2848404715811575,True,
9573,0.2905311077389985,0.9629165360910895,355,0.09563577586206896,0.2848740956529508,True,
9575,0.2905918057663126,0.9629242819843342,355,0.09563577586206896,0.2849920844572188,True,
9595,0.2911987860394537,0.9628973423658155,356,0.09590517241379311,0.28525066647677383,True,
9600,0.291350531107739,0.9629166666666666,356,0.09590517241379311,0.285259984047836,True,
9673,0.2935660091047041,0.962886384782384,359,0.09671336206896551,0.28555330468032986,True,
9696,0.2942640364188164,0.9629744224422442,359,0.09671336206896551,0.2856946392359687,True,
9775,0.2966616084977238,0.9629667519181586,362,0.09752155172413793,0.285783172279179,True,
9785,0.2969650986342944,0.9630045988758303,362,0.09752155172413793,0.2858184528750522,True,
9789,0.2970864946889226,0.9630197160077638,362,0.09752155172413793,0.2858948302978072,True,
9877,0.29975720789074356,0.9628429685127062,367,0.09886853448275862,0.2859600739745432,True,
9967,0.3024886191198786,0.9628774957359285,370,0.09967672413793104,0.28626249525858233,True,
9970,0.30257966616084975,0.9628886659979939,370,0.09967672413793104,0.2864761619409358,True,
10015,0.3039453717754173,0.9628557164253619,372,0.10021551724137931,0.28654022577681904,True,
