band_size,coverage,npv,subscribers_routed,leakage_rate,threshold,feasible,binding
20051,0.6085280728376328,0.9542167472943993,918,0.24730603448275862,0.3614829112626368,False,"npv,leak_rate,leak_abs"
20163,0.6119271623672231,0.9538263155284432,931,0.25080818965517243,0.36166709394666313,False,"npv,leak_rate,leak_abs"
20299,0.6160546282245827,0.9534459825607173,945,0.25457974137931033,0.36257216185847546,False,"npv,leak_rate,leak_abs"
20304,0.616206373292868,0.9534574468085106,945,0.25457974137931033,0.36317169483015,False,"npv,leak_rate,leak_abs"
20308,0.6163277693474962,0.95346661414221,945,0.25457974137931033,0.36338977662685473,False,"npv,leak_rate,leak_abs"
20321,0.6167223065250379,0.9534963830520151,945,0.25457974137931033,0.3634731077818927,False,"npv,leak_rate,leak_abs"
20323,0.616783004552352,0.9535009595040103,945,0.25457974137931033,0.36360798534621347,False,"npv,leak_rate,leak_abs"
20454,0.6207587253414264,0.9534565366187543,952,0.25646551724137934,0.3636701301563325,False,"npv,leak_rate,leak_abs"
20479,0.6215174506828528,0.953464524634992,953,0.2567349137931034,0.3640657904416134,False,"npv,leak_rate,leak_abs"
20487,0.6217602427921093,0.9534338849026212,954,0.25700431034482757,0.36442370032555693,False,"npv,leak_rate,leak_abs"
20488,0.6217905918057663,0.9534361577508785,954,0.25700431034482757,0.36469149188584243,False,"npv,leak_rate,leak_abs"
20491,0.6218816388467375,0.9533941730515836,955,0.2572737068965517,0.3648551823581894,False,"npv,leak_rate,leak_abs"
20536,0.623247344461305,0.9533502142578886,958,0.25808189655172414,0.36491488188874915,False,"npv,leak_rate,leak_abs"
20538,0.6233080424886192,0.9533547570357386,958,0.25808189655172414,0.3649767237135759,False,"npv,leak_rate,leak_abs"
20548,0.6236115326251896,0.953377457660113,958,0.25808189655172414,0.3649956676942273,False,"npv,leak_rate,leak_abs"
20583,0.6246737481031867,0.9532624010105427,962,0.25915948275862066,0.3650785467034465,False,"npv,leak_rate,leak_abs"
20601,0.6252200303490136,0.9533032377069074,962,0.25915948275862066,0.3652668403512178,False,"npv,leak_rate,leak_abs"
20603,0.6252807283763278,0.953307770713003,962,0.25915948275862066,0.3653951299197036,False,"npv,leak_rate,leak_abs"
20616,0.6256752655538695,0.9532887077997672,963,0.2594288793103448,0.3654918598716624,False,"npv,leak_rate,leak_abs"
20639,0.6263732928679818,0.9532923106739668,964,0.25969827586206895,0.3661234085194471,False,"npv,leak_rate,leak_abs"
20714,0.628649468892261,0.95331659747031,967,0.2605064655172414,0.3662429327073242,False,"npv,leak_rate,leak_abs"
20757,0.6299544764795144,0.9531242472418943,973,0.2621228448275862,0.3665698088894965,False,"npv,leak_rate,leak_abs"
20769,0.6303186646433991,0.9531031826279551,974,0.26239224137931033,0.3667886274920782,False,"npv,leak_rate,leak_abs"
20818,0.6318057663125949,0.9529733884138726,979,0.26373922413793105,0.367655321200578,False,"npv,leak_rate,leak_abs"
20867,0.6332928679817906,0.9530838165524512,979,0.26373922413793105,0.3676981934630397,False,"npv,leak_rate,leak_abs"
